Workout Bucket,Exercise Name,Recommended Sets/Reps,What does this develop,Alternatives,Subcategory
Main-B,Reverse Lunge,3x8-12 per leg,Reverse lunge for quadriceps and glutes,Forward Lunge or Split Squat or Walking Lunge
Main-B,Glute-Ham Raise (GHD),2x AMRAP to RPE 8,Glute-hamstring raise strength for posterior chain,Back Extension or Good Morning or Nordic Curl
Main-B,Leg Curl,3x10-12 reps,Hamstring isolation for knee flexion strength,Lying Hamstring Curl or Machine Leg-Curl
Main-B,Seated Calf Raise,2x12 or 3x15,Calf strength seated for soleus development,Standing Calf Raise or Single-Leg Calf Raise
Secondary,Medicine Ball Rotational Throws,3x8-10 each side,Rotational power for discus/shotput mechanics,Resistance Band Rotations or Cable Woodchoppers or Partner MB Rotation Throws
Secondary,Partner MB Rotation Throws,3-4x8-10 each direction,Partner rotational throws for power development,MB Rotational Throws or Band Rotations
Secondary,MB Lateral Lunge Jump,3x3 per side,Rotational lunge jump for multi-planar power,Lateral Bounds or Lateral Lunges
Secondary,Lateral Bounds,3x8-10 each side,Lateral agility and power for court movement,Side Lunges or Lateral Hops or Carioca
Secondary,MB Rainbows,2x10 each side,Rotational core pattern for throwing mechanics,Russian Twists or Med Ball Rotations
Secondary,Repeat Broad Jump,3-4x5 jumps (2-3min rest),Repeated horizontal jumps for power endurance,Standing Broad Jump or Horizontal Bounds
Secondary,2-3 Step Pop-Ups,3-4x3 contacts,Jump preparation with approach for volleyball,Vertical Pop-Ups or Box Jumps
Secondary,Continuous Gallops,3-4x15-20m,Rhythm and coordination for jumping approach,Gallops or Skip Bounds
Secondary,Single-Leg Hops,3x8-10 per leg,Single-leg reactive power for landing mechanics,Alternating SL Hops or Easy Hops
Secondary,MB Backward Overhead Throws,3x8-10 reps,Backward throw pattern for posterior chain power,MB Overhead Throw or MB Reverse Throw
Secondary,MB Underhand Toss for Height,3x5-8 reps,Vertical throw power for overhead movements,MB Vertical Throws or MB Underhand Throw
Secondary,Resistance Band Rotations,3x12-15 each side,Rotational power with resistance bands,MB Rotational Throws or Cable Woodchoppers
Secondary,MB Scoop-Toss,2x8 per side,Rotational power and hip drive for throwing mechanics,MB Rotational Throws or Band Rotations
Secondary,Shuttle Runs,3x20m (5-10-5 pattern),Acceleration deceleration and change of direction for court movement,Cone Drills or Ladder Drills
Accessory,High Side-Plank,2x45-60s each side,Oblique isometric strength for rotational stability,Standard Side-Plank or Side-Plank with Leg Lift
Accessory,Pallof Press,2x30s (light) or 3x30-45s (weighted),Core anti-rotation for rotational stability,Standing Cable Anti-Rotation or Band Pallof Press
Accessory,Dead Bug,2x30-45s,Core anti-extension for stability,Alternating Toe Taps or Bird-Dog
Accessory,Bird-Dog,2x30-45s,Core stability and coordination,Dead Bug or Quadruped Opposite Arm/Leg
Accessory,Russian Twists,2x10-15 each side,Core rotational strength for throwing power,Med Ball Rotations or Weighted Rotations
Accessory,Med Ball Slams,3x10-12 reps,Core and upper body power for explosive movements,MB Overhead Throw or MB Vertical Throws
Accessory,Banded Clamshells,2x12-15 each side,Hip external rotator activation for hip stability,Bodyweight Clamshells or Side-Lying Hip Abduction
Accessory,Banded Monster Walks,2x12-15 each direction,Hip abductor activation for lateral stability,Side Lunges or Lateral Band Walks
Accessory,Single-Leg Glute Bridge,2-3x10-12 each,Single-leg glute activation for hip stability,Double-Leg Glute Bridge or Hip Thrust
Accessory,Single-Leg Calf Raise,3x12-15 per leg,Single-leg calf strength for ankle stability,Double-Leg Calf Raises or Standing Calf Raise
Accessory,Toe Raises,2x15-20 reps,Ankle dorsiflexor strength for landing mechanics,Heel Walks or Banded Tibialis Raise
Accessory,Copenhagen,3x12-15 reps,Hip adductor and core strength for hip stability,Side-Plank with Leg Lift or Adductor Squeeze
Accessory,Plank,2x30-60s,Core stability for overall athletic performance,High Plank or Forearm Plank
Accessory,Ab Rollout,2x12-15 or 3 RIR,Core anti-extension strength for stability,Dead Bug or Plank
Accessory,Hanging Knee Raise,2x15-25 reps,Hip flexor and core strength for hanging position,Leg Raises or Reverse Crunch
